Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
NA,ANTARA KOH 188,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,528,43.8,15.2,3.0,NA,2007.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 288,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,259,35.2,12.2,2.5,NA,2006.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 368,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,958,52.6,18.3,3.6,NA,2013.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 388,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,310,40.0,14.0,2.3,NA,2005.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 68,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,528,44.0,15.2,3.0,NA,2006.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 98,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,528,43.9,15.3,3.1,NA,2006.0,ANTARA KOH PTE LTD
ST,ANTARA KOH AB 2,P:23160955,CUMMINS,NA,Up to B20,Compatible with B20,NA,187.0, ,Inboard,Diesel,40,15.8,4.9,1.8,NA,1992.0,ANTARA KOH PTE LTD
SR,ANTARA KOH AB1,P:3824869,CUMMINS,NA,Up to B20,Compatible with B20,NA,280.0, ,Inboard,Diesel,22,11.3,4.9,1.7,NA,1982.0,ANTARA KOH PTE LTD
NA,ANTARA KOH AB28,FK2G22388,YANMAR,NA,"Up to B100, without modification",Compatible with B100,NA,177.0,Motor,Inboard,Diesel,77,17.7,6.9,2.1,NA,2012.0,ANTARA KOH PTE LTD
NA,ANTARA KOH ASL VII,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,522,43.9,15.2,3.1,600.0,1990.0,ANTARA KOH PTE LTD
NA,ANTARA KOH B8,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,507,43.8,15.2,3.0,NA,1987.0,ANTARA KOH PTE LTD
NA,ANTARA KOH PB III,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,510,35.2,17.1,2.5,NA,1982.0,ANTARA KOH PTE LTD
NA,ANTARA KOH PB68,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1749,51.9,27.0,4.0,NA,2014.0,ANTARA KOH PTE LTD
NA,AOM 124,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,114,17.6,12.2,2.5,NA,2010.0,ORION LOGISTICS PTE LTD
NA,AOM 1805,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,915,52.6,18.3,3.6,NA,2007.0,CAPITOL AQUARIA PTE LTD
NA,AOM 1812,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,706,52.7,15.3,3.1,NA,2009.0,CAPITOL OCEANS PTE LTD
NA,AOM 1815,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,923,52.7,18.3,3.7,NA,2009.0,CAPITOL TUG &AMP; BARGE PTE LTD
NA,AOM 1823,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,923,52.6,18.3,3.6,NA,2010.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM 1824,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,631,52.6,15.2,3.0,NA,2010.0,CAPITOL AQUARIA PTE LTD
NA,AOM 1830,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,706,52.7,15.3,3.1,NA,2011.0,CAPITOL OCEANS PTE LTD
NA,AOM 1843,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,706,52.7,15.3,3.1,NA,2013.0,CAPITOL AQUARIA PTE LTD
NA,AOM 1847,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,914,52.7,18.3,3.7,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM 2101,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1064,61.5,18.3,3.7,NA,2009.0,CAPITOL TUG &AMP; BARGE PTE LTD
NA,AOM 2102,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1064,61.5,18.3,3.7,NA,2009.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM 2301,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1481,67.3,19.6,4.3,NA,2007.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM 2302,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1555,70.1,21.4,4.3,NA,2008.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM 2508,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1702,73.2,21.4,4.3,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM 2509,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1702,73.2,21.4,4.3,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM 2514,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1755,73.2,21.4,4.3,NA,2016.0,ANTARA KOH PTE LTD
NA,AOM 2518,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,2035,73.2,21.4,4.6,NA,2008.0,CHG MARINE SERVICES PTE LTD
NA,AOM 401,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,38,12.2,8.5,1.5,NA,2018.0,CAPITOL OCEANS PTE LTD
NA,AOM HOPPER 11,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,814,47.9,12.4,4.9,NA,2013.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 13,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1245,56.7,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 14,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1245,56.7,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 15,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1245,56.7,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 16,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,814,47.9,12.4,4.9,NA,2013.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 17,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1265,56.6,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 1801,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1481,59.6,16.0,5.5,NA,2017.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM HOPPER 1802,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1481,59.6,16.0,5.5,NA,2017.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM HOPPER 2,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,717,48.3,12.8,4.6,NA,2011.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM HOPPER 20,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1245,56.7,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 21,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1265,56.7,15.0,5.0,NA,2014.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 23,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1273,56.7,15.0,5.0,NA,2015.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 25,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1244,56.7,15.0,5.0,NA,2016.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
NA,AOM HOPPER 2601,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,2400,65.8,18.4,6.5,NA,2015.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 2602,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,2400,65.8,18.4,6.5,NA,2015.0,CAPITOL AQUARIA PTE LTD
NA,AOM HOPPER 8,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,771,48.0,12.4,4.9,NA,2012.0,CAPITOL AQUARIA PTE LTD
ST,AOM T1301,P:STE0934,YANMAR,NA,"Up to B100, without modification",Compatible with B100,NA,485.0, ,Inboard,Diesel,165,22.5,7.3,3.5,NA,2007.0,CAPITOL OFFSHORE PTE LTD
ST,AOM T1302,4966,YANMAR,NA,"Up to B100, without modification",Compatible with B100,NA,485.0,Motor,Inboard,Diesel,142,22.0,7.4,3.2,NA,2013.0,CAPITOL AQUARIA PTE LTD
ST,AOM T1303,P4621,YANMAR,NA,"Up to B100, without modification",Compatible with B100,NA,485.0,Motor,Inboard,Diesel,138,22.2,7.4,3.2,NA,2013.0,CAPITOL AQUARIA PTE LTD
ST,AOM T1304,77860,YANMAR,NA,"Up to B100, without modification",Compatible with B100,NA,485.0, ,Inboard,Diesel,144,22.1,7.4,3.2,NA,2013.0,CAPITOL AQUARIA PTE LTD
SC,APOLLO 1,A15999,HINO,F20C,NA,No Data Available,Not Conclusive,247.0,Motor,Inboard,Diesel,33,14.5,4.0,2.0,NA,2013.0,APOLLO RESOURCE TRADING PTE LTD
NA,APSG FP 1,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,147,19.2,10.0,2.7,NA,2015.0,HUATIONG CONTRACTOR PTE LTD
NA,APSG FP 2,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,147,19.2,10.0,2.7,NA,2015.0,HUATIONG CONTRACTOR PTE LTD
NA,APSG PS 01,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,75,19.2,10.0,1.5,NA,2015.0,DIKA SHIPPING PTE LTD
