Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
ST,ST 0248E,7128911,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,298,Motor,Inboard,Diesel,20,12.7,3.7,1.5,,1975,HUP LEE MARINE SERVICES PTE LTD
ST,ST 0283C,23177739,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,186, ,Inboard,Diesel,18,12.2,3.2,1.6,,1972,KIM LIAN HOE MARINE CO PTE LTD
ST,ST 0299Z,41014842,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,261, ,Inboard,Diesel,31,15.3,3.9,1.8,,1974,HAI WOON TUG BOAT CO PTE LTD
ST,ST 0447Z,10963011,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,260, ,Inboard,Diesel,22,13.2,3.8,1.5,,1977,DONG SHENG TUG BOAT SERVICES
ST,ST 0593Z,11132666,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,372, ,Inboard,Diesel,41,14.6,4.5,2.2,,1982,HUP LEE MARINE SERVICES PTE LTD
ST,ST 0595F,18105278,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,179, ,Inboard,Diesel,25,13.9,3.9,1.6,,1982,WAN SOON TUGBOAT SERVICES PTE LTD
ST,ST 0599I,12014294,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,260, ,Inboard,Diesel,23,13,3.6,1.7,,1980,S&#39;PORE MARINE TRANSPORT PTE LTD
ST,ST 0616B,41234429,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,261, ,Inboard,Diesel,17,14.2,4.1,1,,1982,S&#39;PORE MARINE TRANSPORT PTE LTD
ST,ST 0632D,11065177,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,298, ,Inboard,Diesel,34,14.3,4.2,2,,1983,HUP LEE MARINE SERVICES PTE LTD
ST,ST 0651J,30326206,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,223, ,Inboard,Diesel,33,14.2,4.1,2,,1984,NEW WEST COAST MARINE PTE LTD
ST,ST 0689H,41213966,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,261, ,Inboard,Diesel,32,13.5,4.1,2,,1983,KEE MARINE PTE LTD
ST,ST 0715J,11899996,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,260, ,Inboard,Diesel,31,14.1,4.1,1.9,,1983,S&#39;PORE MARINE TRANSPORT PTE LTD
ST,ST 0723A,41182663,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,261, ,Inboard,Diesel,33,14.5,4,2,,1976,S&#39;PORE MARINE TRANSPORT PTE LTD
ST,ST 0794J,10951750,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,298, ,Inboard,Diesel,31,14.8,4.1,1.8,,1991,WAN SOON TUGBOAT SERVICES PTE LTD
ST,ST FRANCESCA,16555,HINO,unknown,unknown,No Data Available,Not Conclusive,260, ,Inboard,Diesel,49,18.7,5.5,2.9,,2000,LEE HUAT YAP KEE &AMP; CO PTE LTD
unknown,ST01,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1830,73.2,21.4,4.9,,2013,MILLENNIUM MARINE &AMP; SHIPPING P L
unknown,ST02,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1830,70.3,21.4,4.9,,2013,MILLENNIUM MARINE &AMP; SHIPPING P L
SC,STAR,P:1881,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,175, ,Inboard,Diesel,25,18.2,4.2,2,25,1978,BILLION STARS MARINE LLP
SB,STAR 2,NTA855-M; 41182216/7,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,522,Motor,Inboard,Gas Oil,496,42.2,10.2,4.3,805,2012,ISHIPS MGMT PTE LTD
ST,STAR ADMIRAL,S2X01160,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,1999, ,Inboard,Diesel,394,27.6,12,5,,2008,PSA MARINE PTE LTD
ST,STAR COMMODORE,S2X01350,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,1999, ,Inboard,Diesel,394,27.6,12,5,,2009,PSA MARINE PTE LTD
ST,STAR ENDEAVOUR,S2X00526,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,1865, ,Inboard,Diesel,327,25.2,11.5,5.1,,2006,PSA MARINE PTE LTD
SC,STAR GLOBAL 1201,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,257,35.2,12.2,2.5,,2015,STAR GLOBAL AGENCY PTE LTD
SC,STAR GLOBAL 2101,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1049,61.5,18.3,3.7,,2011,STAR GLOBAL ALLIANCE PTE LTD
