Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
,KOSMOS GREEN,,,,,Not Conclusive,,,,,117,29.3,9.2,1.9,,2009,KENOIL MARINE SERVICES PTE LTD
SB,KOSMOS LILY,41141821,CUMMINS,KTA,Up to B20,,373, ,Inboard,Diesel,490,44.3,9.5,4.7,639,2010,KENOIL MARINE SERVICES PTE LTD
,KOWLOON BAY 2523,,,,,Not Conclusive,,,,,1959,73.2,21.4,4.9,,2014,KIM HOCK BEE MARINE PTE LTD
SR,KSE AB 3,6130140,MITSUBISHI,,Up to B30,,178, ,Inboard,Diesel,24,12.7,4.2,1.6,,1993,KSE MARINE WORKS PTE LTD
ST,KSE BULL,S6BF-MTK-2,MITSUBISHI,,Up to B30,,309,Motor,Inboard,Diesel,22,11.9,3.7,1.7,,1987,KSE MARINE WORKS PTE LTD
,KSE CORAL,,,,,Not Conclusive,,,,,1569,53.8,21,4,0,1991,KSE MARINE WORKS PTE LTD
SR,KSE CORE,,,,,Not Conclusive,,,,,1468,53.8,22.8,3.5,,1990,KSE MARINE WORKS PTE LTD
SR,KSE HITACHI GO,,,,,Not Conclusive,,,,,417,49,9.5,3.2,,1989,KSE MARINE WORKS PTE LTD
SC,KSE SPEEDER,162,YANMAR,,"Up to B100, without modification",,404,Motor,Inboard,Diesel,8,12.9,2.8,0.7,,1997,KSE MARINE WORKS PTE LTD
SR,KSE WB100,,,,,Not Conclusive,,,,,183,29.6,9.1,2.4,,1994,KSE MARINE WORKS PTE LTD
ST,KST 31,20853,NIIGATA,,,Not Conclusive,1119, ,Inboard,Diesel,233,25.9,8.5,4.7,108,1993,KST MARITIME PTE. LTD.
ST,KST 56,24831,NIIGATA,,,Not Conclusive,1838,Motor,Inboard,Diesel,469,28.7,11.5,5.2,,2008,KST MARITIME PTE. LTD.
ST,KST 58,25177,NIIGATA,,,Not Conclusive,1838, ,Inboard,Diesel,469,30.3,11.5,5.2,,2009,KST MARITIME PTE. LTD.
ST,KST KIJANG,22354/22355,NIIGATA,,,Not Conclusive,2983,Main Engine,Inboard,Diesel,319,28.2,9.5,5,168,1998,KST MARITIME PTE. LTD.
ST,KST LIBERTY,27690,NIIGATA,,,Not Conclusive,1920,Motor,Inboard,LNG,497,30.6,12.5,5.3,,2017,KST MARITIME PTE. LTD.
ST,KST PASSION,777,CATERPILLAR,,"Up to B100, dealer consultation required",,2000,Motor,Inboard,Diesel,497,31.3,12.2,5.4,,2013,KST MARITIME PTE. LTD.
ST,KST PRIDE,776,CATERPILLAR,,"Up to B100, dealer consultation required",,2000,Motor,Inboard,Diesel,497,31.3,12.2,5.4,,2013,KST MARITIME PTE. LTD.
ST,KST SKILL,P:24446,NIIGATA,,,Not Conclusive,1323, ,Inboard,Diesel,333,25,9.8,4.9,,2006,KST MARITIME PTE. LTD.
ST,KST SKY,P:24202,NIIGATA,,,Not Conclusive,1323, ,Inboard,Diesel,246,26.4,9,4.7,,2006,KST MARITIME PTE. LTD.
ST,KST STELLAR,P:2448,NIGATA,,,Not Conclusive,1323, ,Inboard,Diesel,333,25,9.8,4.9,,2007,KST MARITIME PTE. LTD.
ST,KST SUPER,P:24199,NIGATA,,,Not Conclusive,1323, ,Inboard,Diesel,246,26.4,9,4.7,,2006,KST MARITIME PTE. LTD.
ST,KST ZODIAC,S2X01459,CATERPILLAR,,"Up to B100, dealer consultation required",,1864, ,Inboard,Diesel,327,25.3,11.5,5,,2010,KST MARITIME PTE. LTD.
,KUTA BAY 1201,,,,,Not Conclusive,,,,,260,35.1,12.2,2.4,,2013,KIM HOCK BEE MARINE PTE LTD
,KUTA BAY 46,,,,,Not Conclusive,,,,,813,52.6,15.2,3.6,,1995,ENG LEE LOGISTICS PTE LTD
,L 3601,,,,,Not Conclusive,,,,,12214,105.6,46,7.5,,2011,SEATRIUM (SG) PTE LTD
,L501,,,,,Not Conclusive,,,,,1911,57.7,25,4.5,,2013,SEATRIUM MARINE SERVICES PTE. LTD.
SB,LAUREL,AQ6K260051,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,1618, ,Inboard,Diesel,4915,97,17.5,9,8657,2009,HONG LAM MARINE PTE LTD
SR,LCC MARINE 10,6P20C012282,WEI CHAI,220WP6C220-23,Up to B30,,220,Motor,Inboard,Diesel,20,9.5,3.4,2.1,20,2021,LOH CHWEE CHEW MOORING SVCS P LT
,LCC MARINE 11,6p20c012284,WEI CHAI,220Wp6c220-23,Up to B30,,220,Motor,Inboard,Diesel,20,9.5,3.4,2.1,20,2021,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 3,1215e014424,WEI CHAI,,Up to B30,,207,Motor,Inboard,Diesel,19,9.3,3.6,2,,2018,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 5,1215E014423,WEI CHAI,,Up to B30,,278,Motor,Inboard,Diesel,19,9.3,3.6,2,,2018,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 6,6P18B006164,WEI CHAI,WP6C220-23,Up to B30,,165,Motor,Inboard,Diesel,20,9.5,3.4,2.2,,2018,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 7,6P18B006162,WEI CHAI,,Up to B30,,162,Motor,Inboard,Diesel,20,9.5,3.4,2.2,,2018,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 8,6P20C012285,WEI CHAI,220,Up to B30,,220,Motor,Inboard,Diesel,20,9.5,3.4,2.2,,2021,LOH CHWEE CHEW MOORING SVCS P LT
SR,LCC MARINE 9,6P20C012283,WEI CHAI,WP6C220-23,Up to B30,,220,Motor,Inboard,Diesel,20,9.5,3.4,2.2,,2021,LOH CHWEE CHEW MOORING SVCS P LT
SC,LCT I,1217K007289,WEI CHAI,,Up to B30,,320, ,Inboard,Diesel,28,14.5,3.8,1.8,,2012,CKL MOTOR BOAT PTE LTD
SC,LCT II,1216S002686,WEI CHAI,,Up to B30,,190, ,Inboard,Diesel,26,13.5,3.8,1.8,,2013,CKL MOTOR BOAT PTE LTD
SC,LCW 1,P:000295,NISSAN,,,Not Conclusive,190, ,Inboard,Diesel,55,18.5,5.2,2,,2009,LIGHTER B PTE LTD
SC,LCW 2,10787,YANMAR,,"Up to B100, without modification",,190, ,Inboard,Diesel,34,17,4.7,1.5,,2009,LIGHTER B PTE LTD
SC,LCW 5,P:13164,YANMAR,,"Up to B100, without modification",,190, ,Inboard,Diesel,75,20,6,2.2,,2010,LIGHTER B PTE LTD
SC,LEADING MARINE,10891516,CUMMINS,,Up to B20,,190, ,Inboard,Diesel,25,15.1,3.9,2.9,,1984,R W MARINE SERVICES PTE LTD
SC,LEADING MARINE II,30123321,CUMMINS,,Up to B20,,145, ,Inboard,Diesel,24,14.6,3.8,2.1,,1985,R W MARINE SERVICES PTE LTD
SC,LEADING PRIDE,P:4TB06004,CATERPILLAR,,"Up to B100, dealer consultation required",,328, ,Inboard,Diesel,53,18.5,5.5,2.4,,1996,R W MARINE SERVICES PTE LTD
SR,LEEWAY ACE,206170,MITSUBISHI,6D22,Up to B30,,175,Motor,Inboard,Diesel,31,12.5,4.1,2.1,,1989,LEE LENG TECK
SR,LEMBING,42600510,CUMMINS,,Up to B20,,171, ,Inboard,Diesel,32,14,4.4,1.9,,1982,KIM LIAN HOE MARINE CO PTE LTD
SB,LEOMARIS,11147,MAN,8L,Up to B30,,1280,Motor,Inboard,Diesel,2067,73.3,13,7.2,2240,2010,ISHIPS MGMT PTE LTD
SC,LES DIAMOND,WP12C450-21,NISSAN WECHAI,,,Not Conclusive,330,Motor,Inboard,Diesel,25,14.5,4,1.5,,2020,LES STAR PTE LTD
SC,LES SWIFT,SC12E460.21CA1,SHANGHAI DIESEL,,Up to B30,,340,Motor,Inboard,Gas Oil,25,14.5,4,1.5,,2019,LES STAR PTE LTD
SC,LIANG HUAT,8DC9-41967,MITSUBISHI,,Up to B30,,183, ,Inboard,Diesel,20,13.7,3.4,1.5,,1992,CHUA HWA HING
,LIBERTY,137993,MITSUBISHI,,Up to B30,,185, ,Inboard,Diesel,9,14.2,4.2,0.5,,2013,STRAITS BUNKERING PTE LTD
,LIBERTY 29,9073,YANMAR,6AYM-WS,"Up to B100, without modification",,485,Motor,Inboard,Diesel,1308,62.4,12,5.8,1787,2022,D LEGADA PTE LTD
SB,LIBRA,41107947,CUMMINS,,Up to B20,,671, ,Inboard,Diesel,1912,73.4,14,6.3,2798,2008,NEW MARITIME PTE LTD
SR,LIGHTHOUSE,23215022,CUMMINS,,Up to B20,,195,Motor,Inboard,Diesel,68,18.9,6,2.1,,2010,EXPERTISE TECHNOLOGIES PTE LTD
,LINTAS LAUTAN 231,,,,,Not Conclusive,,,,,1542,67.3,21.3,4.2,,2011,KIM HOCK BEE MARINE PTE LTD
,LINTAS LAUTAN 251,,,,,Not Conclusive,,,,,1817,73.2,21.3,4.6,,2012,KIM HOCK BEE MARINE PTE LTD
SC,LITA ADVENTURER,37258168,CUMMINS,,Up to B20,,373, ,Inboard,Diesel,376,41.5,12.8,2.6,,2013,LITA OCEAN PTE LTD
SR,LITA CARRIER 1501,,,,,Not Conclusive,,,,,520,45.8,15.3,3.1,,2013,LITA OCEAN PTE LTD
ST,LITA CHALLENGER,37136656,CUMMINS,,Up to B20,,343, ,Inboard,Diesel,51,17.5,5,2.6,,1994,LITA OCEAN PTE LTD
SR,LITA INVESTIGATOR,73413269,CUMMINS,,Up to B20,,298, ,Inboard,Diesel,29,14.4,4.5,2.2,,2012,LITA OCEAN PTE LTD
ST,LITA POWER,7W28737,CUMMINS,,Up to B20,,186, ,Inboard,Diesel,15,11.5,4.5,1,,1978,LITA OCEAN PTE LTD
ST,LITA POWER 3,33B3052,CATERPILLAR,,"Up to B100, dealer consultation required",,264, ,Inboard,Diesel,37,14.6,4.2,2.1,,1991,LITA OCEAN PTE LTD
ST,LITA POWER 5,37283358,CUMMINS,KTA19 M3,Up to B20,,447,Motor,Inboard,Diesel,43,15,5,2.8,,2020,LITA OCEAN PTE LTD
ST,LITA POWER 6,10743695,CUMMINS,,Up to B20,,298, ,Inboard,Diesel,42,14.6,4.4,2.3,,1993,LITA OCEAN PTE LTD
ST,LITA POWER 7,33B-8311,CATERPILLAR,,"Up to B100, dealer consultation required",,272, ,Inboard,Diesel,42,14.6,4.4,2.3,,1994,LITA OCEAN PTE LTD
SR,LITA QUEST,585290/019,MAN,,Up to B30,,320, ,Inboard,Diesel,196,32.6,8.5,2.5,,1985,LITA OCEAN PTE LTD
SC,LITA RANGER,P:99408911,CATERPILLAR,,"Up to B100, dealer consultation required",,300, ,Inboard,Diesel,472,52.8,14,2.5,867,1997,LITA OCEAN PTE LTD
SC,LITA TRANSPORTER,99U09937,CATERPILLAR,,"Up to B100, dealer consultation required",,715, ,Inboard,Diesel,333,39.2,12.2,2.6,,2001,LITA OCEAN PTE LTD
SR,LITA VENTURE 1208,,,,,Not Conclusive,,,,,249,35.2,12.2,2.5,,2003,LITA OCEAN PTE LTD
SC,LITA VENTURE 1209,,,,,Not Conclusive,,,,,259,35.2,12.2,2.5,,2005,LITA OCEAN PTE LTD
SC,LITA VENTURE 1210,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,2006,LITA OCEAN PTE LTD
SR,LITA VENTURE 1211,,,,,Not Conclusive,,,,,259,35.2,12.2,2.5,,2010,LITA OCEAN PTE LTD
SC,LKH 2882,,,,,Not Conclusive,,,,,4430,96.7,27.5,6.1,,2012,JIN FU OFFSHORE &AMP; MARINE PTE LTD
SC,LKH 3883,,,,,Not Conclusive,,,,,1847,73.2,21.4,4.6,,2004,JIN FU OFFSHORE &AMP; MARINE PTE LTD
SC,LKH 7887,,,,,Not Conclusive,,,,,4448,96.7,27.5,6.1,,2014,JIN FU OFFSHORE &AMP; MARINE PTE LTD
SC,LKH 9889,,,,,Not Conclusive,,,,,1834,73.2,21.4,4.6,,2007,JIN FU OFFSHORE &AMP; MARINE PTE LTD
SC,LLS 18,311148,HINO,,,Not Conclusive,280,Motor,Inboard,Diesel,30,14.5,3.8,1.9,,2017,LOH LAUNCH SERVICES PTE LTD
SC,LLS 28,1421E051966,WEI CHAI,,Up to B30,,330,Motor,Inboard,Diesel,23,14.5,3.8,1.9,,2017,LOH LAUNCH SERVICES PTE LTD
SC,LLS 38,1421H071133,WEI CHAI,WP12C,Up to B30,,330,Motor,Inboard,Diesel,30,14.5,3.8,1.9,,2018,LOH LAUNCH SERVICES PTE LTD
SC,LLS 48,1421H071134,WEI CHAI,,Up to B30,,180,Motor,Inboard,Gas Oil,30,14.5,3.8,1.9,7,2022,LOH LAUNCH SERVICES PTE LTD
,LM 8833,147944,ISUZU,,,Not Conclusive,280, ,Inboard,Diesel,28,15,3.8,1.7,,2013,KEONG TAT SHIPPING PTE LTD
SC,LOH 28,A10808,HINO,,,Not Conclusive,285,Motor,Inboard,Diesel,28,14.5,3.8,1.8,,2007,SEASWIFT LAUNCH SERVICE PTE LTD
SC,LOH 38,1417P07C663,WEI CHAI,,Up to B30,,300, ,Inboard,Diesel,28,14.5,3.8,1.8,,2011,LOH LAUNCH SERVICES PTE LTD
SC,LOH 48,A10521,HINO,V22,,Not Conclusive,280, ,Inboard,Diesel,28,14.5,3.8,1.8,,2012,MARINA SOUTH FERRIES PTE LTD
SC,LOH 58,11121,HINO,,,Not Conclusive,224,Motor,Inboard,Diesel,28,14.5,3.8,1.8,,2015,LOH LAUNCH SERVICES PTE LTD
SB,LUBOIL MARINE,5801,YANMAR,6AYM-WST,"Up to B100, without modification",,485,Motor,Inboard,Diesel,494,42.2,10.2,4.3,778,2015,TRANSLUB MARINE PTE LTD
SB,LUBOIL MARINE II,7061,YANMAR,,"Up to B100, without modification",,485,Motor,Inboard,Diesel,495,42.2,10.2,4.3,,2017,LEE HUAT YAP KEE &AMP; CO PTE LTD
SB,LUBQUEST,P:37192038,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,496,40.2,10,4.2,559,1999,SINO INT&#39;L SHPG PTE LTD
,LUBS,6LU24G,HANSHIN,,,Not Conclusive,588, ,Inboard,Diesel,515,41.9,10,3.6,566,1993,TRUST SHIP MANAGEMENT PTE LTD
SB,LUBSERVE,P:37481394,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,486,40.2,10,4.2,500,1997,SINO INT&#39;L SHPG PTE LTD
SB,LUISELLA COSULICH,10561,MAN,6L,Up to B30,,960, ,Inboard,Diesel,2650,88.1,14.5,7,3969,2010,FRATELLI COSULICH BUNKERS
SB,LUMINOUS,41091928,CUMMINS,,Up to B20,,671, ,Inboard,Diesel,1912,73.4,14,6.3,2814,2007,SINO TANKERS PTE LTD
SC,M R W 1,A11531,HINO,,,Not Conclusive,120, ,Inboard,Diesel,17,12.2,3.2,1.5,,1992,TEO BOON SHENG
SB,MAESTRO,DE623Z0754,DAIHATSU,6DEM-23FL,"Up to B20. <B20 to B30, Consult OEM",,1235,Motor,Inboard,Diesel,6113,108.5,19,10,8500,2020,HONG LAM MARINE PTE LTD
SB,MAJESTY,DE623Z0756,DAIHATSU,6DEM-23,"Up to B20. <B20 to B30, Consult OEM",,1235,Motor,Inboard,Diesel,6113,108.5,19,10,8500,2020,HONG LAM MARINE PTE LTD
ST,MAJU 510,P:25182,NIIGATA,,,Not Conclusive,919, ,Inboard,Diesel,469,30.3,11.5,5.2,,2009,MAJU MARITIME PTE LTD
ST,MAJU 511,P:25184,NIIGATA,,,Not Conclusive,1878, ,Inboard,Diesel,469,30.4,11.5,5.2,,2009,MAJU MARITIME PTE LTD
,MAJU BERSAMA,90203,YANMAR,,"Up to B100, without modification",,45,Motor,Inboard,Diesel,25,19,4.5,1.4,,2012,BUANA TRADING PTE LTD
ST,MAJU LOYALTY,27692,NIIGATA,,,Not Conclusive,1920,Motor,Inboard,LNG,497,30.6,12.5,5.3,,2017,MAJU MARITIME PTE LTD
ST,MAJU MARS,24439,NIIGATA,,,Not Conclusive,1499, ,Inboard,Diesel,335,28,10.5,4.9,,2006,MAJU MARITIME PTE LTD
,MAJU MERCURY,24441,NIIGATA,,,Not Conclusive,1499, ,Inboard,Diesel,335,28,10.5,4.9,,2006,MAJU MARITIME PTE LTD
,MAJU SOLAR,23845,NIIGATA,,,Not Conclusive,2646, ,Inboard,Diesel,246,26.4,9,4.7,,2005,MAJU MARITIME PTE LTD
,MAJU SOLITAIRE,P:23848,NIIGATA,,,Not Conclusive,2646, ,Inboard,Diesel,246,26.4,9,4.7,,2005,MAJU MARITIME PTE LTD
SC,MAJULAH 1,A18647,HINO,,,Not Conclusive,355,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2016,KANLIAN FERRY PTE LTD
,MAJULAH 11,D921B017562,SHANGHAI DIESEL,POWER D683ZLCA1,Up to B30,,179,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2022,KANLIAN FERRY PTE LTD
,MAJULAH 13,D9201000719,SHANGHAI DIESEL,POWERD683ZLCA1B,Up to B30,,179,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2023,KANLIAN FERRY PTE LTD
,MAJULAH 15,D922C010949,SHANGHAI DIESEL,POWERD683ZLCA1B,Up to B30,,184,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2024,KANLIAN FERRY PTE LTD
,MAJULAH 3,1419B024919,WEI CHAI,WP12C190-18,Up to B30,,140,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2019,KANLIAN FERRY PTE LTD
SC,MAJULAH 5,D9201000731,SHANGHAI DIESEL,,Up to B30,,189,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2019,KANLIAN FERRY PTE LTD
,MAJULAH 7,D920C020040,SHANGHAI DIESEL,POWERD683ZLCA 1B,Up to B30,,179,Motor,Inboard,Diesel,9,14.2,4.2,0.5,,2021,KANLIAN FERRY PTE LTD
SB,MAJULAH SIRIUS,5713,YANMAR,,"Up to B100, without modification",,485,Motor,Inboard,Diesel,495,42.2,10.2,4.3,778,2014,MAJULAH SIRIUS TANKERS PTE LTD
ST,MAKO 8,37170435,CUMMINS,,Up to B20,,373, ,Inboard,Diesel,37,14.6,4.2,2.1,,1997,BAN HARBOUR TUG SVS PTE LTD
ST,MAKO 9,37161362,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,38,13.9,4.6,2.1,,1994,BAN HARBOUR TUG SVS PTE LTD
,MANILA BAY 1503,,,,,Not Conclusive,,,,,525,43.8,15.2,3,,2015,KIM HOCK BEE MARINE PTE LTD
,MAPLE,1206 &amp; 1207,YANMAR,6N21A-EW,"Up to B100, without modification",,1912,Motor,Inboard,Gas Oil,2999,90.1,14.6,7.1,4097,2023,STELLAR SHIP MANAGEMENT SERVICES PTE LTD
,MARCOPOLO 298,,,,,Not Conclusive,,,,,1967,76.1,22,4.9,,2014,ENG LEE SHIPPING CO PTE LTD
,MARCOPOLO 322,,,,,Not Conclusive,,,,,3570,87.8,27.4,5.4,,2023,ENG LEE SHIPPING CO PTE LTD
SB,MARIA COSULICH,P:053403,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,1250, ,Inboard,Diesel,4969,94.8,18,10,7032,2004,FRATELLI COSULICH BUNKERS
SC,MARIGOLD,41185287,CUMMINS,,Up to B20,,194,Motor,Inboard,Diesel,50,18.9,5.6,2.2,,2013,AMOS INTERNATIONAL (S) PTE LTD
SC,MARINA 1,1416G038950,WEI CHAI,,Up to B30,,265,Motor,Inboard,Diesel,14,10.9,3.3,1.3,,1986,BANYAN MARINE (S) PTE LTD
ST,MARINA ABLE,P:21122,SACM,SACM,,Not Conclusive,638, ,Inboard,Diesel,216,24.4,9.1,4,100,1994,MARINA OFFSHORE PTE LTD
ST,MARINA AMAZON 2,P:37220355,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,143,21.7,7.3,3.2,,2006,MARINA OFFSHORE PTE LTD
ST,MARINA AMBER,26059,NIIGATA,,,Not Conclusive,1471, ,Inboard,Diesel,386,30.3,10,5.5,,2012,MARINA OFFSHORE PTE LTD
ST,MARINA ARIEL,2570925710,NIIGATA,,,Not Conclusive,1838, ,Inboard,Diesel,481,33.1,11.2,5.4,,2011,MARINA OFFSHORE PTE LTD
ST,MARINA ATHENA,P:18280,NIGATA,,,Not Conclusive,1119, ,Inboard,Diesel,251,28.2,8.8,3.7,,1987,MARINA OFFSHORE PTE LTD
ST,MARINA EMERALD,16955,NIIGATA,6L25BX,,Not Conclusive,969,Motor,Inboard,Diesel,233,28.3,8.6,3.7,,2005,MARINA OFFSHORE PTE LTD
ST,MARINA EVERJOY,P:0628340,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,969, ,Inboard,Diesel,256,27.5,8.5,3.9,,1983,MARINA OFFSHORE PTE LTD
,MARINA GARNET,TTB00453,CATERPILLAR,3508C,"Up to B100, dealer consultation required",,820,Motor,Inboard,Diesel,371,27.1,9.8,5,,2010,MARINA OFFSHORE PTE LTD
ST,MARINA GENESIS,P:1068,NIGATA,,,Not Conclusive,619, ,Inboard,Diesel,215,26.7,8.2,3.5,,1982,MARINA OFFSHORE PTE LTD
,MARINA GRANITE,TTB00453,CATERPILLAR,3508C,"Up to B100, dealer consultation required",,820,Motor,Inboard,Diesel,371,27.1,9.8,5,,2010,MARINA OFFSHORE PTE LTD
ST,MARINA MEGA,P:60M07063,CATERPILLAR,,"Up to B100, dealer consultation required",,403, ,Inboard,Diesel,152,21.8,7.4,3.2,113,1997,MARINA OFFSHORE PTE LTD
ST,MARINA MERLION 2,37228723,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,141,21.9,7.3,3.2,,2007,MARINA OFFSHORE PTE LTD
ST,MARINA MOBILE,P:37195220,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,120,21.8,7,2.9,99,2000,TRANSCO MARINE PTE LTD
SR,MARINA MOORING,,,,,Not Conclusive,,,,,117,27,6.1,2.5,,2012,MARINA OFFSHORE PTE LTD
,MARINA MOORING 2,,,,,Not Conclusive,,,,,114,26.4,6.1,2.5,,2019,MARINA OFFSHORE PTE LTD
ST,MARINA ONYX,26910,NIIGATA,,,Not Conclusive,1471,Motor,Inboard,Diesel,467,29.8,10.6,5,,2015,MARINA OFFSHORE PTE LTD
ST,MARINA OPAL,26908,NIIGATA,,,Not Conclusive,1471,Motor,Inboard,Diesel,467,29.8,10.6,5,,2014,MARINA OFFSHORE PTE LTD
ST,MARINA PEARL,P:70967,STORKWARTS,STORKWARTS,,Not Conclusive,1177, ,Inboard,Diesel,297,28.5,9.6,4.7,160,1995,MARINA OFFSHORE PTE LTD
ST,MARINA PHEVOS,P:20139,NIIGATA,,,Not Conclusive,1194, ,Inboard,Diesel,308,30.8,9.2,3.9,,1991,MARINA OFFSHORE PTE LTD
ST,MARINA PRINCESS 3,37176882,CUMMINS,,Up to B20,,373, ,Inboard,Diesel,120,21.7,7,2.9,113,1997,TRANSCO MARINE PTE LTD
ST,MARINA QUARTZ,P:70965,WARTSILA,,Compatible to BXX when BXX meets Wartsila biofuel specs B100,,1177, ,Inboard,Diesel,297,28.5,9.6,4.7,160,1995,MARINA OFFSHORE PTE LTD
SC,MARINA SOUTH 5,(P)11540,HINO,K13,,Not Conclusive,0, ,Inboard,Diesel,65,18.2,6,2.1,,2011,OH SIEW MENG MOTOR-BOAT SV
ST,MARINA SPIRE,P:25-0340,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,202, ,Inboard,Diesel,79,19.8,6,2.5,,1986,MARINA OFFSHORE PTE LTD
ST,MARINA SWIFT,628219,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,1342, ,Inboard,Diesel,336,33.3,9.6,4.1,,1990,MARINA OFFSHORE PTE LTD
ST,MARINA TOPAZ,37250892,CUMMINS,,Up to B20,,447,Motor,Inboard,Diesel,142,22,7.4,3.2,,2010,MARINA OFFSHORE PTE LTD
ST,MARINA VIVO,P:19719,NIIGATA,,,Not Conclusive,1106, ,Inboard,Diesel,282,30.9,8.8,3.8,,1990,MARINA OFFSHORE PTE LTD
ST,MARINA ZANITE,25723(S),NIIGATA,,,Not Conclusive,1471,Motor,Inboard,Diesel,295,28.2,9.5,4.7,,2010,MARINA OFFSHORE PTE LTD
ST,MARINA ZIRCON,25833,NIIGATA,6L26HLX,,Not Conclusive,1471,Motor,Inboard,Diesel,295,28.2,9.5,4.7,,2011,MARINA OFFSHORE PTE LTD
SB,MARINE ANGEL,4116860,CUMMINS,KTA38M,Up to B20,,895,Motor,Inboard,Diesel,1999,65,14.3,7.2,2960,2012,V-BUNKERS TANKERS PTE LTD
SB,MARINE BELLA,AQ6K260074,DAIHATSU,6DKM-26,"Up to B20. <B20 to B30, Consult OEM",,1618, ,Inboard,Diesel,2608,88,14.2,6.9,3929,2010,V-BUNKERS TANKERS PTE LTD
,MARINE CHARGE,555,YANMAR,6EY22AW,"Up to B100, without modification",,1200,Motor,Inboard,Gas Oil,4903,97.6,19,9.3,8286,2022,V-BUNKERS TANKERS PTE LTD
,MARINE DYNAMO,557,YANMAR,6EY22AW,"Up to B100, without modification",,1200,Motor,Inboard,Gas Oil,4903,97.6,19,9.3,8270,2022,V-BUNKERS TANKERS PTE LTD
,MARINE EXPLORER,561,YANMAR,6EY22AW,"Up to B100, without modification",,1200,Motor,Inboard,Gas Oil,4903,97.6,19,9.3,8354,2022,V-BUNKERS TANKERS PTE LTD
,MARINE FUTURE,572,YANMAR,6EY22AW,"Up to B100, without modification",,1200,Motor,Inboard,Diesel,4903,97.6,19,9.3,7990,2022,V-BUNKERS TANKERS PTE LTD
,MARINE GAIA,8308,MAN,,Up to B30,,1470, ,Inboard,Diesel,4996,94.4,18,10,7014,2009,V-BUNKERS TANKERS PTE LTD
SB,MARINE HONOUR,FHR0211,YANMAR,,"Up to B100, without modification",,1471,Motor,Inboard,Diesel,4709,97.7,18.6,10,599,2006,STRAITS BUNKERING PTE LTD
SB,MARINE JEWEL,FHN0283,YANMAR,,"Up to B100, without modification",,1471, ,Inboard,Diesel,4709,97.7,18.6,10,8649,2008,V-BUNKERS TANKERS PTE LTD
SB,MARINE NOEL,FTE 1009,YANMAR,,"Up to B100, without modification",,956, ,Inboard,Diesel,2999,85.1,16,7.3,4991,2011,V-BUNKERS TANKERS PTE LTD
SB,MARINE ORACLE,FTE1011,YANMAR,,"Up to B100, without modification",,956, ,Inboard,Diesel,2999,85.1,16,7.3,4705,2011,V-BUNKERS TANKERS PTE LTD
SB,MARINE PAMELA,11277,ZHENJIANG,,,Not Conclusive,960, ,Inboard,Diesel,2997,76.6,16.4,8.6,4933,2010,V-BUNKERS TANKERS PTE LTD
SB,MARINE POWER,LH26-86,HANSHIN,,,Not Conclusive,735, ,Inboard,Diesel,656,56.5,9,4.5,954,1992,TRUST SHIP MANAGEMENT PTE LTD
SB,MARINE PRIORITY,P 20478,MITSUBISHI,,Up to B30,,522, ,Inboard,Diesel,853,47.1,12,6,1783,1989,TRUST SHIP MANAGEMENT PTE LTD
SB,MARINE PROTECTOR,P 99U06028,CATERPILLAR,,"Up to B100, dealer consultation required",,296, ,Inboard,Diesel,241,26.9,8,4.2,419,1989,TRUST SHIP MANAGEMENT PTE LTD
SB,MARINE QUEENIE,DK620E0301,DAIHATSU,6DKM-20EF,"Up to B20. <B20 to B30, Consult OEM",,1028,Motor,Inboard,Gas Oil,3898,84,17.3,9.6,6517,2015,V-BUNKERS TANKERS PTE LTD
SB,MARINE ROSE,DK620E0306,DAIHATSU,60KM20EF,"Up to B20. <B20 to B30, Consult OEM",,1028,Motor,Inboard,Diesel,3898,84,17.3,9.6,6494,2015,V-BUNKERS TANKERS PTE LTD
